original_target_identifier	canonical_target_identity	baseline_rank	baseline_score	candidate_rank	dependency_signal	dependency_component_count	profile_available
CTLA4	symbol:CTLA4|entrez:1493	1	0.8534	10	0.22424242424242424	3	True
PDCD1	symbol:PDCD1|entrez:5133	2	0.8274	4	0.8545454545454545	3	True
CD274	symbol:CD274|entrez:29126	3	0.8249	9	0.29090909090909095	3	True
LAG3	symbol:LAG3|entrez:3902	4	0.8218	7	0.42424242424242425	3	True
IL2RA	symbol:IL2RA|entrez:3559	5	0.6726	6	0.6484848484848486	3	True
NRAS	symbol:NRAS|entrez:4893	6	0.3009	3	0.8787878787878789	3	True
BRAF	symbol:BRAF|entrez:673	7	0.269	1	0.993939393939394	3	True
MAP2K1	symbol:MAP2K1|entrez:5604	8	0.2621	2	0.9696969696969697	3	True
B2M	symbol:B2M|entrez:567	9	0.2272	5	0.7000000000000001	3	True
JAK2	symbol:JAK2|entrez:3717	10	0.2149	8	0.3	3	True
JAK1	symbol:JAK1|entrez:3716	11	0.2139	19	0.0212121212121212	3	True
CDKN2A	symbol:CDKN2A|entrez:1029	12	0.0	18	0.33030303030303027	3	True
BAP1	symbol:BAP1|entrez:8314	13	0.0	13	0.8606060606060607	3	True
MAP2K2	symbol:MAP2K2|entrez:5605	14	0.0	12	0.903030303030303	3	True
PTEN	symbol:PTEN|entrez:5728	15	0.0	16	0.609090909090909	3	True
MITF	symbol:MITF|entrez:4286	16	0.0	11	0.9696969696969697	3	True
NF1	symbol:NF1|entrez:4763	17	0.0	17	0.4515151515151515	3	True
CDK4	symbol:CDK4|entrez:1019	18	0.0	14	0.8424242424242424	3	True
GNAQ	symbol:GNAQ|entrez:2776	19	0.0	15	0.7696969696969697	3	True
ARID2	symbol:ARID2|entrez:196528	20	0.0	20		0	False
KIT	symbol:KIT|entrez:3815	21	0.0	21	0.8242424242424242	3	True
RAC1	symbol:RAC1|entrez:5879	22	0.0	22		0	False
TERT	symbol:TERT|entrez:7015	23	0.0	24	0.4151515151515152	3	True
GNA11	symbol:GNA11|entrez:2767	24	0.0	23	0.693939393939394	3	True
POT1	symbol:POT1|entrez:25913	25	0.0	25		0	False
MBD4	symbol:MBD4|entrez:8930	26	0.0	26		0	False
TP53	symbol:TP53|entrez:7157	27	0.0	27	0.11818181818181817	3	True
SF3B1	symbol:SF3B1|entrez:23451	28	0.0	28		0	False
PPP6C	symbol:PPP6C|entrez:5537	29	0.0	29		0	False
IRF4	symbol:IRF4|entrez:3662	30	0.0	30		0	False
BRCA2	symbol:BRCA2|entrez:675	31	0.0	31		0	False
RAF1	symbol:RAF1|entrez:5894	32	0.0	32		0	False
KDR	symbol:KDR|entrez:3791	33	0.0	33		0	False
PDGFRA	symbol:PDGFRA|entrez:5156	34	0.0	34		0	False
ATM	symbol:ATM|entrez:472	35	0.0	35		0	False
LRP1B	symbol:LRP1B|entrez:53353	36	0.0	36		0	False
FLT4	symbol:FLT4|entrez:2324	37	0.0	37		0	False
CSF3R	symbol:CSF3R|entrez:1441	38	0.0	38		0	False
PDGFRB	symbol:PDGFRB|entrez:5159	39	0.0	39		0	False
TET2	symbol:TET2|entrez:54790	40	0.0	40		0	False
POLE	symbol:POLE|entrez:5426	41	0.0	41		0	False
DDX3X	symbol:DDX3X|entrez:1654	42	0.0	42		0	False
FOXP1	symbol:FOXP1|entrez:27086	43	0.0	43		0	False
PBRM1	symbol:PBRM1|entrez:55193	44	0.0	44		0	False
SETD2	symbol:SETD2|entrez:29072	45	0.0	45		0	False
CCND1	symbol:CCND1|entrez:595	46	0.0	46		0	False
ERBB4	symbol:ERBB4|entrez:2066	47	0.0	47		0	False
MET	symbol:MET|entrez:4233	48	0.0	48		0	False
STK11	symbol:STK11|entrez:6794	49	0.0	49		0	False
ROS1	symbol:ROS1|entrez:6098	50	0.0	50		0	False
MTOR	symbol:MTOR|entrez:2475	51	0.0	51		0	False
H3-3B	symbol:H3-3B|entrez:3021	52	0.0	52		0	False
TRRAP	symbol:TRRAP|entrez:8295	53	0.0	53		0	False
MC1R	symbol:MC1R|entrez:4157	54	0.0	54		0	False
IKZF1	symbol:IKZF1|entrez:10320	55	0.0	55		0	False
FAT1	symbol:FAT1|entrez:2195	56	0.0	56		0	False
DICER1	symbol:DICER1|entrez:23405	57	0.0	57		0	False
MDM2	symbol:MDM2|entrez:4193	58	0.0	58		0	False
IFNAR1	symbol:IFNAR1|entrez:3454	59	0.0	59		0	False
MECOM	symbol:MECOM|entrez:2122	60	0.0	60		0	False
WRN	symbol:WRN|entrez:7486	61	0.0	61		0	False
CHEK2	symbol:CHEK2|entrez:11200	62	0.0	62		0	False
ATR	symbol:ATR|entrez:545	63	0.0	63		0	False
CUX1	symbol:CUX1|entrez:1523	64	0.0	64		0	False
KMT2D	symbol:KMT2D|entrez:8085	65	0.0	65		0	False
EP300	symbol:EP300|entrez:2033	66	0.0	66		0	False
ESR1	symbol:ESR1|entrez:2099	67	0.0	67		0	False
BRCA1	symbol:BRCA1|entrez:672	68	0.0	68		0	False
AKT1	symbol:AKT1|entrez:207	69	0.0	69		0	False
NTRK1	symbol:NTRK1|entrez:4914	70	0.0	70		0	False
ERBB2	symbol:ERBB2|entrez:2064	71	0.0	71		0	False
PREX2	symbol:PREX2|entrez:80243	72	0.0	72		0	False
FAT4	symbol:FAT4|entrez:79633	73	0.0	73		0	False
KMT2C	symbol:KMT2C|entrez:58508	74	0.0	74		0	False
POLQ	symbol:POLQ|entrez:10721	75	0.0	75		0	False
FGFR2	symbol:FGFR2|entrez:2263	76	0.0	76		0	False
TP63	symbol:TP63|entrez:8626	77	0.0	77		0	False
FGFR4	symbol:FGFR4|entrez:2264	78	0.0	78		0	False
GRIN2A	symbol:GRIN2A|entrez:2903	79	0.0	79		0	False
UBR5	symbol:UBR5|entrez:51366	80	0.0	80		0	False
OCA2	symbol:OCA2|entrez:4948	81	0.0	81		0	False
SMARCA4	symbol:SMARCA4|entrez:6597	82	0.0	82		0	False
IFNAR2	symbol:IFNAR2|entrez:3455	83	0.0	83		0	False
FGFR1	symbol:FGFR1|entrez:2260	84	0.0	84		0	False
PTPRB	symbol:PTPRB|entrez:5787	85	0.0	85		0	False
PTPRT	symbol:PTPRT|entrez:11122	86	0.0	86		0	False
PTPN11	symbol:PTPN11|entrez:5781	87	0.0	87		0	False
MDM4	symbol:MDM4|entrez:4194	88	0.0	88		0	False
TSC1	symbol:TSC1|entrez:7248	89	0.0	89		0	False
TBX3	symbol:TBX3|entrez:6926	90	0.0	90		0	False
ERBB3	symbol:ERBB3|entrez:2065	91	0.0	91		0	False
ATRX	symbol:ATRX|entrez:546	92	0.0	92		0	False
RUNX1T1	symbol:RUNX1T1|entrez:862	93	0.0	93		0	False
CDK12	symbol:CDK12|entrez:51755	94	0.0	94		0	False
TYR	symbol:TYR|entrez:7299	95	0.0	95		0	False
RB1	symbol:RB1|entrez:5925	96	0.0	96		0	False
AKT2	symbol:AKT2|entrez:208	97	0.0	97		0	False
PTPRK	symbol:PTPRK|entrez:5796	98	0.0	98		0	False
CBL	symbol:CBL|entrez:867	99	0.0	99		0	False
DNMT3A	symbol:DNMT3A|entrez:1788	100	0.0	100		0	False
RRM2	symbol:RRM2|entrez:6241	101	0.0	101		0	False
KLF6	symbol:KLF6|entrez:1316	102	0.0	102		0	False
AR	symbol:AR|entrez:367	103	0.0	103		0	False
KMT2A	symbol:KMT2A|entrez:4297	104	0.0	104		0	False
CYLD	symbol:CYLD|entrez:1540	105	0.0	105		0	False
RPL5	symbol:RPL5|entrez:6125	106	0.0	106		0	False
ERCC2	symbol:ERCC2|entrez:2068	107	0.0	107		0	False
IDH1	symbol:IDH1|entrez:3417	108	0.0	108		0	False
NOTCH2	symbol:NOTCH2|entrez:4853	109	0.0	109		0	False
CDK6	symbol:CDK6|entrez:1021	110	0.0	110		0	False
IKBKB	symbol:IKBKB|entrez:3551	111	0.0	111		0	False
NTRK2	symbol:NTRK2|entrez:4915	112	0.0	112		0	False
RRM2B	symbol:RRM2B|entrez:50484	113	0.0	113		0	False
CASP8	symbol:CASP8|entrez:841	114	0.0	114		0	False
POLD1	symbol:POLD1|entrez:5424	115	0.0	115		0	False
IL7R	symbol:IL7R|entrez:3575	116	0.0	116		0	False
QKI	symbol:QKI|entrez:9444	117	0.0	117		0	False
GNAS	symbol:GNAS|entrez:2778	118	0.0	118		0	False
MYB	symbol:MYB|entrez:4602	119	0.0	119		0	False
PTCH1	symbol:PTCH1|entrez:5727	120	0.0	120		0	False
DDR2	symbol:DDR2|entrez:4921	121	0.0	121		0	False
PIK3R1	symbol:PIK3R1|entrez:5295	122	0.0	122		0	False
TSC2	symbol:TSC2|entrez:7249	123	0.0	123		0	False
PHOX2B	symbol:PHOX2B|entrez:8929	124	0.0	124		0	False
SETBP1	symbol:SETBP1|entrez:26040	125	0.0	125		0	False
RRM1	symbol:RRM1|entrez:6240	126	0.0	126		0	False
SPEN	symbol:SPEN|entrez:23013	127	0.0	127		0	False
ARHGAP35	symbol:ARHGAP35|entrez:2909	128	0.0	128		0	False
SYK	symbol:SYK|entrez:6850	129	0.0	129		0	False
PAX5	symbol:PAX5|entrez:5079	130	0.0	130		0	False
CYP1B1	symbol:CYP1B1|entrez:1545	131	0.0	131		0	False
FANCA	symbol:FANCA|entrez:2175	132	0.0	132		0	False
CIITA	symbol:CIITA|entrez:4261	133	0.0	133		0	False
BCL9L	symbol:BCL9L|entrez:283149	134	0.0	134		0	False
NUTM1	symbol:NUTM1|entrez:256646	135	0.0	135		0	False
ARNT	symbol:ARNT|entrez:405	136	0.0	136		0	False
CCND2	symbol:CCND2|entrez:894	137	0.0	137		0	False
PER1	symbol:PER1|entrez:5187	138	0.0	138		0	False
JUN	symbol:JUN|entrez:3725	139	0.0	139		0	False
KAT6A	symbol:KAT6A|entrez:7994	140	0.0	140		0	False
CBLB	symbol:CBLB|entrez:868	141	0.0	141		0	False
HNF1A	symbol:HNF1A|entrez:6927	142	0.0	142		0	False
BCL11A	symbol:BCL11A|entrez:53335	143	0.0	143		0	False
USP6	symbol:USP6|entrez:9098	144	0.0	144		0	False
MYCN	symbol:MYCN|entrez:4613	145	0.0	145		0	False
PRDM1	symbol:PRDM1|entrez:639	146	0.0	146		0	False
AFDN	symbol:AFDN|entrez:4301	147	0.0	147		0	False
IL2RG	symbol:IL2RG|entrez:3561	148	0.0	148		0	False
IL2RB	symbol:IL2RB|entrez:3560	149	0.0	149		0	False
SMAD2	symbol:SMAD2|entrez:4087	150	0.0	150		0	False
AXIN1	symbol:AXIN1|entrez:8312	151	0.0	151		0	False
SALL4	symbol:SALL4|entrez:57167	152	0.0	152		0	False
NFKBIE	symbol:NFKBIE|entrez:4794	153	0.0	153		0	False
HGF	symbol:HGF|entrez:3082	154	0.0	154		0	False
PPP2R1A	symbol:PPP2R1A|entrez:5518	155	0.0	155		0	False
BCOR	symbol:BCOR|entrez:54880	156	0.0	156		0	False
ERCC3	symbol:ERCC3|entrez:2071	157	0.0	157		0	False
FANCD2	symbol:FANCD2|entrez:2177	158	0.0	158		0	False
DAXX	symbol:DAXX|entrez:1616	159	0.0	159		0	False
PTPRC	symbol:PTPRC|entrez:5788	160	0.0	160		0	False
MYH9	symbol:MYH9|entrez:4627	161	0.0	161		0	False
ARID1B	symbol:ARID1B|entrez:57492	162	0.0	162		0	False
LZTR1	symbol:LZTR1|entrez:8216	163	0.0	163		0	False
CIC	symbol:CIC|entrez:23152	164	0.0	164		0	False
CREBBP	symbol:CREBBP|entrez:1387	165	0.0	165		0	False
MYCL	symbol:MYCL|entrez:4610	166	0.0	166		0	False
SLC45A2	symbol:SLC45A2|entrez:51151	167	0.0	167		0	False
FCRL4	symbol:FCRL4|entrez:83417	168	0.0	168		0	False
MAP3K13	symbol:MAP3K13|entrez:9175	169	0.0	169		0	False
CNOT3	symbol:CNOT3|entrez:4849	170	0.0	170		0	False
FLG	symbol:FLG|entrez:2312	171	0.0	171		0	False
AMER1	symbol:AMER1|entrez:139285	172	0.0	172		0	False
ATF1	symbol:ATF1|entrez:466	173	0.0	173		0	False
ERCC5	symbol:ERCC5|entrez:2073	174	0.0	174		0	False
ERCC4	symbol:ERCC4|entrez:2072	175	0.0	175		0	False
MX2	symbol:MX2|entrez:4600	176	0.0	176		0	False
SUFU	symbol:SUFU|entrez:51684	177	0.0	177		0	False
NTRK3	symbol:NTRK3|entrez:4916	178	0.0	178		0	False
ARID1A	symbol:ARID1A|entrez:8289	179	0.0	179		0	False
PARP1	symbol:PARP1|entrez:142	180	0.0	180		0	False
CARD11	symbol:CARD11|entrez:84433	181	0.0	181		0	False
RICTOR	symbol:RICTOR|entrez:253260	182	0.0	182		0	False
BRD4	symbol:BRD4|entrez:23476	183	0.0	183		0	False
RET	symbol:RET|entrez:5979	184	0.0	184		0	False
EZH2	symbol:EZH2|entrez:2146	185	0.0	185		0	False
SMAD3	symbol:SMAD3|entrez:4088	186	0.0	186		0	False
LCK	symbol:LCK|entrez:3932	187	0.0	187		0	False
TFEB	symbol:TFEB|entrez:7942	188	0.0	188		0	False
CDX2	symbol:CDX2|entrez:1045	189	0.0	189		0	False
ACVR1B	symbol:ACVR1B|entrez:91	190	0.0	190		0	False
PRF1	symbol:PRF1|entrez:5551	191	0.0	191	0.21515151515151512	3	True
NCOR2	symbol:NCOR2|entrez:9612	192	0.0	192		0	False
IRS4	symbol:IRS4|entrez:8471	193	0.0	193		0	False
SPOP	symbol:SPOP|entrez:8405	194	0.0	194		0	False
CREB1	symbol:CREB1|entrez:1385	195	0.0	195		0	False
TET1	symbol:TET1|entrez:80312	196	0.0	196		0	False
EGFR	symbol:EGFR|entrez:1956	197	0.0	197		0	False
CRLF2	symbol:CRLF2|entrez:64109	198	0.0	198		0	False
STN1	symbol:STN1|entrez:79991	199	0.0	199		0	False
TFE3	symbol:TFE3|entrez:7030	200	0.0	200		0	False
TRAF7	symbol:TRAF7|entrez:84231	201	0.0	201		0	False
NFKB2	symbol:NFKB2|entrez:4791	202	0.0	202		0	False
AFF4	symbol:AFF4|entrez:27125	203	0.0	203		0	False
ARHGEF12	symbol:ARHGEF12|entrez:23365	204	0.0	204		0	False
U2AF1	symbol:U2AF1|entrez:7307	205	0.0	205		0	False
PMS2	symbol:PMS2|entrez:5395	206	0.0	206		0	False
ZBTB16	symbol:ZBTB16|entrez:7704	207	0.0	207		0	False
MTAP	symbol:MTAP|entrez:4507	208	0.0	208		0	False
MSH2	symbol:MSH2|entrez:4436	209	0.0	209		0	False
ZFHX3	symbol:ZFHX3|entrez:463	210	0.0	210		0	False
KDM5A	symbol:KDM5A|entrez:5927	211	0.0	211		0	False
CHD4	symbol:CHD4|entrez:1108	212	0.0	212		0	False
FBXO11	symbol:FBXO11|entrez:80204	213	0.0	213		0	False
PTPN13	symbol:PTPN13|entrez:5783	214	0.0	214		0	False
PLCG1	symbol:PLCG1|entrez:5335	215	0.0	215		0	False
FAS	symbol:FAS|entrez:355	216	0.0	216		0	False
MAX	symbol:MAX|entrez:4149	217	0.0	217		0	False
BCORL1	symbol:BCORL1|entrez:63035	218	0.0	218		0	False
KNL1	symbol:KNL1|entrez:57082	219	0.0	219		0	False
BUB1B	symbol:BUB1B|entrez:701	220	0.0	220		0	False
NCOR1	symbol:NCOR1|entrez:9611	221	0.0	221		0	False
ACKR3	symbol:ACKR3|entrez:57007	222	0.0	222		0	False
SMO	symbol:SMO|entrez:6608	223	0.0	223		0	False
WAS	symbol:WAS|entrez:7454	224	0.0	224		0	False
NUP98	symbol:NUP98|entrez:4928	225	0.0	225		0	False
CACNA1D	symbol:CACNA1D|entrez:776	226	0.0	226		0	False
FLT3	symbol:FLT3|entrez:2322	227	0.0	227		0	False
BTK	symbol:BTK|entrez:695	228	0.0	228		0	False
RANBP2	symbol:RANBP2|entrez:5903	229	0.0	229		0	False
BCL11B	symbol:BCL11B|entrez:64919	230	0.0	230		0	False
CLTC	symbol:CLTC|entrez:1213	231	0.0	231		0	False
MN1	symbol:MN1|entrez:4330	232	0.0	232		0	False
MAP2K4	symbol:MAP2K4|entrez:6416	233	0.0	233		0	False
BCL9	symbol:BCL9|entrez:607	234	0.0	234		0	False
BRD3	symbol:BRD3|entrez:8019	235	0.0	235		0	False
KAT6B	symbol:KAT6B|entrez:23522	236	0.0	236		0	False
TBL1XR1	symbol:TBL1XR1|entrez:79718	237	0.0	237		0	False
TMEM127	symbol:TMEM127|entrez:55654	238	0.0	238		0	False
FANCF	symbol:FANCF|entrez:2188	239	0.0	239		0	False
PIK3CA	symbol:PIK3CA|entrez:5290	240	0.0	240		0	False
APC	symbol:APC|entrez:324	241	0.0	241		0	False
NKX2-1	symbol:NKX2-1|entrez:7080	242	0.0	242		0	False
CTNNB1	symbol:CTNNB1|entrez:1499	243	0.0	243		0	False
MRTFA	symbol:MRTFA|entrez:57591	244	0.0	244		0	False
KLF4	symbol:KLF4|entrez:9314	245	0.0	245		0	False
ZNF331	symbol:ZNF331|entrez:55422	246	0.0	246		0	False
FGFR3	symbol:FGFR3|entrez:2261	247	0.0	247		0	False
FH	symbol:FH|entrez:2271	248	0.0	248		0	False
MUTYH	symbol:MUTYH|entrez:4595	249	0.0	249		0	False
TCL1A	symbol:TCL1A|entrez:8115	250	0.0	250		0	False
CARS1	symbol:CARS1|entrez:833	251	0.0	251		0	False
ATP2B3	symbol:ATP2B3|entrez:492	252	0.0	252		0	False
PRDM16	symbol:PRDM16|entrez:63976	253	0.0	253		0	False
PTK6	symbol:PTK6|entrez:5753	254	0.0	254		0	False
LATS2	symbol:LATS2|entrez:26524	255	0.0	255		0	False
RAD51C	symbol:RAD51C|entrez:5889	256	0.0	256		0	False
STAT5B	symbol:STAT5B|entrez:6777	257	0.0	257		0	False
IKZF3	symbol:IKZF3|entrez:22806	258	0.0	258		0	False
CDKN2B	symbol:CDKN2B|entrez:1030	259	0.0	259		0	False
FANCE	symbol:FANCE|entrez:2178	260	0.0	260		0	False
TYRP1	symbol:TYRP1|entrez:7306	261	0.0	261		0	False
BIRC3	symbol:BIRC3|entrez:330	262	0.0	262		0	False
ALK	symbol:ALK|entrez:238	263	0.0	263		0	False
FUBP1	symbol:FUBP1|entrez:8880	264	0.0	264		0	False
PATZ1	symbol:PATZ1|entrez:23598	265	0.0	265		0	False
FMN1	symbol:FMN1|entrez:342184	266	0.0	266		0	False
H3-3A	symbol:H3-3A|entrez:3020	267	0.0	267		0	False
GATA2	symbol:GATA2|entrez:2624	268	0.0	268		0	False
APOBEC3B	symbol:APOBEC3B|entrez:9582	269	0.0	269		0	False
BCL2	symbol:BCL2|entrez:596	270	0.0	270		0	False
POU2AF1	symbol:POU2AF1|entrez:5450	271	0.0	271		0	False
PMEL	symbol:PMEL|entrez:6490	272	0.0	272		0	False
KRAS	symbol:KRAS|entrez:3845	273	0.0	273		0	False
TENT5C	symbol:TENT5C|entrez:54855	274	0.0	274		0	False
CD79A	symbol:CD79A|entrez:973	275	0.0	275		0	False
LPP	symbol:LPP|entrez:4026	276	0.0	276		0	False
PLXNB2	symbol:PLXNB2|entrez:23654	277	0.0	277		0	False
SUZ12	symbol:SUZ12|entrez:23512	278	0.0	278		0	False
CBFA2T3	symbol:CBFA2T3|entrez:863	279	0.0	279		0	False
NF2	symbol:NF2|entrez:4771	280	0.0	280		0	False
MAPK1	symbol:MAPK1|entrez:5594	281	0.0	281		0	False
KRT5	symbol:KRT5|entrez:3852	282	0.0	282		0	False
HRAS	symbol:HRAS|entrez:3265	283	0.0	283		0	False
CNOT9	symbol:CNOT9|entrez:9125	284	0.0	284		0	False
PDCD1LG2	symbol:PDCD1LG2|entrez:80380	285	0.0	285		0	False
SLC24A5	symbol:SLC24A5|entrez:283652	286	0.0	286	0.3575757575757576	3	True
NOTCH1	symbol:NOTCH1|entrez:4851	287	0.0	287		0	False
MAP3K1	symbol:MAP3K1|entrez:4214	288	0.0	288		0	False
CDH1	symbol:CDH1|entrez:999	289	0.0	289		0	False
BACH2	symbol:BACH2|entrez:60468	290	0.0	290		0	False
KEAP1	symbol:KEAP1|entrez:9817	291	0.0	291		0	False
MED12	symbol:MED12|entrez:9968	292	0.0	292		0	False
H3C2	symbol:H3C2|entrez:8358	293	0.0	293		0	False
TNFRSF17	symbol:TNFRSF17|entrez:608	294	0.0	294		0	False
PIK3CB	symbol:PIK3CB|entrez:5291	295	0.0	295		0	False
FBXW7	symbol:FBXW7|entrez:55294	296	0.0	296		0	False
NFE2L2	symbol:NFE2L2|entrez:4780	297	0.0	297		0	False
ABL1	symbol:ABL1|entrez:25	298	0.0	298		0	False
CLPTM1L	symbol:CLPTM1L|entrez:81037	299	0.0	299		0	False
ASPSCR1	symbol:ASPSCR1|entrez:79058	300	0.0	300		0	False
